               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,              0.0176,            0.010554,                   0,             0.99935,                   1,               0.995,             0.82323,            0.016827,           0.0077809,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015937,            0.010783,                   0,             0.99934,                   1,               0.995,             0.83835,            0.016295,           0.0076945,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015036,           0.0099219,                   0,             0.99935,                   1,               0.995,             0.83463,            0.016517,           0.0077323,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.01555,           0.0098673,                   0,             0.99934,                   1,               0.995,             0.83344,            0.016419,           0.0077143,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01503,           0.0097468,                   0,             0.99935,                   1,               0.995,             0.84301,            0.016324,           0.0076696,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.014803,            0.010582,                   0,             0.99933,                   1,               0.995,             0.84258,            0.015949,           0.0075934,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.015906,           0.0093527,                   0,             0.99932,                   1,               0.995,             0.84421,            0.015783,           0.0075704,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015014,           0.0098988,                   0,             0.99933,                   1,               0.995,             0.85242,            0.015746,           0.0075765,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.015952,           0.0096955,                   0,             0.99932,                   1,               0.995,             0.84502,            0.015762,           0.0075463,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015613,           0.0094208,                   0,             0.99932,                   1,               0.995,             0.84552,            0.015752,           0.0075418,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015432,           0.0099356,                   0,             0.99933,                   1,               0.995,             0.84978,            0.015739,           0.0075042,                   0,            0.000298,            0.000298,            0.000298
